num_items,JSON_tokens,TOON_tokens,tokens_saved,reduction_pct,dataset
1,248,243,5,2.02,github_events
2,588,572,16,2.72,github_events
3,828,806,22,2.66,github_events
4,1069,1041,28,2.62,github_events
5,1321,1288,33,2.5,github_events
6,1546,1500,46,2.98,github_events
7,1747,1692,55,3.15,github_events
8,1988,1925,63,3.17,github_events
9,2226,2158,68,3.05,github_events
10,2463,2388,75,3.05,github_events
11,2701,2620,81,3.0,github_events
12,2942,2857,85,2.89,github_events
13,3176,3086,90,2.83,github_events
14,3422,3327,95,2.78,github_events
15,3721,3619,102,2.74,github_events
16,3961,3854,107,2.7,github_events
17,4199,4086,113,2.69,github_events
18,4471,4350,121,2.71,github_events
19,4712,4586,126,2.67,github_events
20,4960,4829,131,2.64,github_events
21,5206,5068,138,2.65,github_events
22,5442,5298,144,2.65,github_events
23,5679,5529,150,2.64,github_events
24,5913,5757,156,2.64,github_events
25,6158,5996,162,2.63,github_events
26,6436,6265,171,2.66,github_events
27,6780,6598,182,2.68,github_events
28,7016,6828,188,2.68,github_events
29,7259,7066,193,2.66,github_events
30,7499,7296,203,2.71,github_events
1,22,19,3,13.64,wikipedia_pages
2,47,33,14,29.79,wikipedia_pages
3,69,45,24,34.78,wikipedia_pages
4,90,55,35,38.89,wikipedia_pages
5,115,69,46,40.0,wikipedia_pages
6,143,85,58,40.56,wikipedia_pages
7,165,95,70,42.42,wikipedia_pages
8,187,106,81,43.32,wikipedia_pages
9,208,116,92,44.23,wikipedia_pages
10,239,137,102,42.68,wikipedia_pages
11,263,151,112,42.59,wikipedia_pages
12,288,165,123,42.71,wikipedia_pages
13,311,176,135,43.41,wikipedia_pages
14,332,186,146,43.98,wikipedia_pages
15,354,197,157,44.35,wikipedia_pages
16,376,209,167,44.41,wikipedia_pages
17,398,220,178,44.72,wikipedia_pages
18,418,228,190,45.45,wikipedia_pages
19,440,239,201,45.68,wikipedia_pages
20,462,250,212,45.89,wikipedia_pages
21,485,262,223,45.98,wikipedia_pages
22,507,272,235,46.35,wikipedia_pages
23,529,282,247,46.69,wikipedia_pages
24,553,295,258,46.65,wikipedia_pages
25,576,307,269,46.7,wikipedia_pages
26,600,320,280,46.67,wikipedia_pages
27,628,338,290,46.18,wikipedia_pages
28,647,346,301,46.52,wikipedia_pages
29,670,358,312,46.57,wikipedia_pages
30,694,371,323,46.54,wikipedia_pages
